RDD, TF, n, Tardiness BestFirst, Runtime BestFirst, Tardiness Greedy, Runtime Greedy, Tardiness Exact, Runtime Exact, Epsilon, Tardiness Approx, Runtime Approx, Epsilon, Tardiness Approx, Runtime Approx, Epsilon, Tardiness Approx, Runtime Approx, Epsilon, Tardiness Approx, Runtime Approx
0.2, 0.8, 95, N/A, N/A, , 30, 87020.0, 17550, 0.1, , 30, 0.5, , 30, 1.0, , 0, 2.0, , 0
0.2, 1.0, 10, N/A, N/A, , 0, 1921.0, 190, 0.1, , 30, 0.5, , 30, 1.0, , 0, 2.0, , 0
0.2, 1.0, 100, N/A, N/A, , 0, 171168.0, 1155, 0.1, , 0, 0.5, , 30, 1.0, , 30, 2.0, , 0
0.2, 1.0, 15, N/A, N/A, , 0, 3944.0, 218, 0.1, , 0, 0.5, , 0, 1.0, , 30, 2.0, , 30
0.2, 1.0, 20, N/A, N/A, , 30, 7032.0, 242, 0.1, , 30, 0.5, , 0, 1.0, , 0, 2.0, , 0
0.2, 1.0, 25, N/A, N/A, , 0, 11344.0, 1035, 0.1, , 30, 0.5, , 30, 1.0, , 0, 2.0, , 0
0.2, 1.0, 30, N/A, N/A, , 30, 12864.0, 555, 0.1, , 30, 0.5, , 0, 1.0, , 30, 2.0, , 30
0.2, 1.0, 35, N/A, N/A, , 0, 22558.0, 635, 0.1, , 0, 0.5, , 0, 1.0, , 0, 2.0, , 0
0.2, 1.0, 40, N/A, N/A, , 0, 33256.0, 579, 0.1, , 0, 0.5, , 30, 1.0, , 30, 2.0, , 30
0.2, 1.0, 45, N/A, N/A, , 30, 36891.0, 532, 0.1, , 0, 0.5, , 0, 1.0, , 30, 2.0, , 30
0.2, 1.0, 5, N/A, N/A, , 0, 419.0, 161, 0.1, , 30, 0.5, , 30, 1.0, , 0, 2.0, , 30
0.2, 1.0, 50, N/A, N/A, , 30, 43331.0, 476, 0.1, , 0, 0.5, , 0, 1.0, , 0, 2.0, , 0
0.2, 1.0, 55, N/A, N/A, , 0, 53067.0, 531, 0.1, , 0, 0.5, , 0, 1.0, , 0, 2.0, , 0
0.2, 1.0, 60, N/A, N/A, , 30, 47152.0, 608, 0.1, , 30, 0.5, , 0, 1.0, , 0, 2.0, , 30
0.2, 1.0, 65, N/A, N/A, , 0, 77220.0, 624, 0.1, , 30, 0.5, , 0, 1.0, , 0, 2.0, , 0
0.2, 1.0, 70, N/A, N/A, , 0, 87288.0, 563, 0.1, , 0, 0.5, , 30, 1.0, , 30, 2.0, , 0
0.2, 1.0, 75, N/A, N/A, , 30, 84307.0, 781, 0.1, , 0, 0.5, , 0, 1.0, , 30, 2.0, , 0
0.2, 1.0, 80, N/A, N/A, , 0, 114361.0, 754, 0.1, , 0, 0.5, , 0, 1.0, , 0, 2.0, , 0
0.2, 1.0, 85, N/A, N/A, , 30, 149864.0, 738, 0.1, , 30, 0.5, , 30, 1.0, , 0, 2.0, , 30
0.2, 1.0, 90, N/A, N/A, , 30, 150649.0, 807, 0.1, , 0, 0.5, , 30, 1.0, , 0, 2.0, , 0
0.2, 1.0, 95, N/A, N/A, , 30, 153874.0, 960, 0.1, , 0, 0.5, , 0, 1.0, , 0, 2.0, , 30
0.4, 0.2, 10, N/A, N/A, , 30, 52.0, 200, 0.1, , 0, 0.5, , 30, 1.0, , 0, 2.0, , 30
0.4, 0.2, 100, N/A, N/A, , 0, 14.0, 3013, 0.1, , 0, 0.5, , 0, 1.0, , 0, 2.0, , 0
0.4, 0.2, 15, N/A, N/A, , 30, 24.0, 215, 0.1, , 0, 0.5, , 0, 1.0, , 30, 2.0, , 0
0.4, 0.2, 20, N/A, N/A, , 30, 24.0, 244, 0.1, , 30, 0.5, , 30, 1.0, , 30, 2.0, , 0
0.4, 0.2, 25, N/A, N/A, , 0, 57.0, 245, 0.1, , 30, 0.5, , 0, 1.0, , 30, 2.0, , 0
0.4, 0.2, 30, N/A, N/A, , 30, 224.0, 310, 0.1, , 0, 0.5, , 30, 1.0, , 30, 2.0, , 0
0.4, 0.2, 35, N/A, N/A, , 0, 14.0, 379, 0.1, , 0, 0.5, , 60, 1.0, , 0, 2.0, , 30
0.4, 0.2, 40, N/A, N/A, , 30, 8.0, 297, 0.1, , 0, 0.5, , 30, 1.0, , 30, 2.0, , 30
0.4, 0.2, 45, N/A, N/A, , 0, 9.0, 321, 0.1, , 0, 0.5, , 0, 1.0, , 30, 2.0, , 30
0.4, 0.2, 5, N/A, N/A, , 0, 45.0, 165, 0.1, , 0, 0.5, , 0, 1.0, , 30, 2.0, , 0
0.4, 0.2, 50, N/A, N/A, , 0, 46.0, 560, 0.1, , 0, 0.5, , 30, 1.0, , 0, 2.0, , 0
0.4, 0.2, 55, N/A, N/A, , 0, 36.0, 415, 0.1, , 30, 0.5, , 0, 1.0, , 30, 2.0, , 30
0.4, 0.2, 60, N/A, N/A, , 0, 12.0, 374, 0.1, , 0, 0.5, , 0, 1.0, , 0, 2.0, , 0
0.4, 0.2, 65, N/A, N/A, , 0, 82.0, 407, 0.1, , 0, 0.5, , 0, 1.0, , 30, 2.0, , 0
0.4, 0.2, 70, N/A, N/A, , 30, 5.0, 490, 0.1, , 30, 0.5, , 0, 1.0, , 60, 2.0, , 30
0.4, 0.2, 75, N/A, N/A, , 0, 52.0, 453, 0.1, , 30, 0.5, , 30, 1.0, , 0, 2.0, , 0
0.4, 0.2, 80, N/A, N/A, , 0, 10.0, 755, 0.1, , 30, 0.5, , 0, 1.0, , 30, 2.0, , 30
0.4, 0.2, 85, N/A, N/A, , 0, 3.0, 3833, 0.1, , 30, 0.5, , 30, 1.0, , 0, 2.0, , 30
0.4, 0.2, 90, N/A, N/A, , 30, 105.0, 642, 0.1, , 30, 0.5, , 30, 1.0, , 30, 2.0, , 0
0.4, 0.2, 95, N/A, N/A, , 30, 23.0, 474, 0.1, , 30, 0.5, , 30, 1.0, , 30, 2.0, , 60
0.4, 0.4, 10, N/A, N/A, , 30, 185.0, 162, 0.1, , 0, 0.5, , 30, 1.0, , 0, 2.0, , 0
0.4, 0.4, 100, N/A, N/A, , 30, 10140.0, 5616, 0.1, , 0, 0.5, , 30, 1.0, , 30, 2.0, , 0
0.4, 0.4, 15, N/A, N/A, , 0, 476.0, 181, 0.1, , 30, 0.5, , 60, 1.0, , 0, 2.0, , 0
0.4, 0.4, 20, N/A, N/A, , 0, 364.0, 214, 0.1, , 30, 0.5, , 0, 1.0, , 0, 2.0, , 0
0.4, 0.4, 25, N/A, N/A, , 30, 1183.0, 340, 0.1, , 30, 0.5, , 0, 1.0, , 30, 2.0, , 30
0.4, 0.4, 30, N/A, N/A, , 30, 754.0, 283, 0.1, , 30, 0.5, , 30, 1.0, , 0, 2.0, , 0
0.4, 0.4, 35, N/A, N/A, , 0, 1610.0, 467, 0.1, , 30, 0.5, , 0, 1.0, , 30, 2.0, , 30
0.4, 0.4, 40, N/A, N/A, , 0, 2953.0, 1175, 0.1, , 0, 0.5, , 0, 1.0, , 30, 2.0, , 0
0.4, 0.4, 45, N/A, N/A, , 60, 3718.0, 1730, 0.1, , 30, 0.5, , 0, 1.0, , 30, 2.0, , 30
0.4, 0.4, 5, N/A, N/A, , 30, 66.0, 131, 0.1, , 0, 0.5, , 30, 1.0, , 0, 2.0, , 0
0.4, 0.4, 50, N/A, N/A, , 30, 6560.0, 5614, 0.1, , 0, 0.5, , 30, 1.0, , 30, 2.0, , 0
0.4, 0.4, 55, N/A, N/A, , 0, 3588.0, 936, 0.1, , 0, 0.5, , 30, 1.0, , 30, 2.0, , 0
0.4, 0.4, 60, N/A, N/A, , 0, 4053.0, 10174, 0.1, , 60, 0.5, , 0, 1.0, , 30, 2.0, , 0
0.4, 0.4, 65, N/A, N/A, , 0, 5096.0, 3920, 0.1, , 0, 0.5, , 0, 1.0, , 30, 2.0, , 0
0.4, 0.4, 70, N/A, N/A, , 0, 4708.0, 6432, 0.1, , 0, 0.5, , 0, 1.0, , 0, 2.0, , 0
0.4, 0.4, 75, N/A, N/A, , 0, 6066.0, 1212, 0.1, , 0, 0.5, , 30, 1.0, , 30, 2.0, , 0
0.4, 0.4, 80, N/A, N/A, , 0, 9270.0, 9604, 0.1, , 0, 0.5, , 0, 1.0, , 0, 2.0, , 60
0.4, 0.4, 85, N/A, N/A, , 60, 7504.0, 3078, 0.1, , 0, 0.5, , 0, 1.0, , 30, 2.0, , 30
0.4, 0.4, 90, N/A, N/A, , 30, 7536.0, 65617, 0.1, , 0, 0.5, , 60, 1.0, , 0, 2.0, , 60
0.4, 0.4, 95, N/A, N/A, , 60, 11123.0, 4479, 0.1, , 0, 0.5, , 0, 1.0, , 30, 2.0, , 30
0.4, 0.6, 10, N/A, N/A, , 30, 664.0, 168, 0.1, , 30, 0.5, , 0, 1.0, , 30, 2.0, , 0
0.4, 0.6, 100, N/A, N/A, , 60, 40667.0, 128016, 0.1, , 0, 0.5, , 0, 1.0, , 30, 2.0, , 30
0.4, 0.6, 15, N/A, N/A, , 30, 1130.0, 183, 0.1, , 30, 0.5, , 30, 1.0, , 30, 2.0, , 30
0.4, 0.6, 20, N/A, N/A, , 30, 2814.0, 294, 0.1, , 30, 0.5, , 0, 1.0, , 0, 2.0, , 30
0.4, 0.6, 25, N/A, N/A, , 60, 3222.0, 320, 0.1, , 0, 0.5, , 0, 1.0, , 30, 2.0, , 0
0.4, 0.6, 30, N/A, N/A, , 30, 2649.0, 394, 0.1, , 30, 0.5, , 0, 1.0, , 30, 2.0, , 0
0.4, 0.6, 35, N/A, N/A, , 30, 4062.0, 466, 0.1, , 30, 0.5, , 30, 1.0, , 0, 2.0, , 0
0.4, 0.6, 40, N/A, N/A, , 60, 9779.0, 1216, 0.1, , 60, 0.5, , 30, 1.0, , 0, 2.0, , 0
0.4, 0.6, 45, N/A, N/A, , 30, 9363.0, 2247, 0.1, , 0, 0.5, , 30, 1.0, , 0, 2.0, , 60
0.4, 0.6, 5, N/A, N/A, , 873, 329.0, 180, 0.1, , 30, 0.5, , 0, 1.0, , 30, 2.0, , 0
0.4, 0.6, 50, N/A, N/A, , 30, 9196.0, 2409, 0.1, , 30, 0.5, , 30, 1.0, , 0, 2.0, , 30
0.4, 0.6, 55, N/A, N/A, , 0, 12045.0, 10046, 0.1, , 0, 0.5, , 0, 1.0, , 0, 2.0, , 30
0.4, 0.6, 60, N/A, N/A, , 0, 14035.0, 13097, 0.1, , 0, 0.5, , 0, 1.0, , 30, 2.0, , 0
0.4, 0.6, 65, N/A, N/A, , 0, 16298.0, 3959, 0.1, , 30, 0.5, , 0, 1.0, , 30, 2.0, , 30
0.4, 0.6, 70, N/A, N/A, , 30, 21087.0, 6175, 0.1, , 60, 0.5, , 30, 1.0, , 30, 2.0, , 60
0.4, 0.6, 75, N/A, N/A, , 0, 26005.0, 7091, 0.1, , 30, 0.5, , 30, 1.0, , 0, 2.0, , 0
0.4, 0.6, 80, N/A, N/A, , 0, 22239.0, 7907, 0.1, , 60, 0.5, , 0, 1.0, , 0, 2.0, , 30
0.4, 0.6, 85, N/A, N/A, , 30, 28054.0, 20615, 0.1, , 30, 0.5, , 30, 1.0, , 30, 2.0, , 0
0.4, 0.6, 90, N/A, N/A, , 30, 30780.0, 22932, 0.1, , 0, 0.5, , 0, 1.0, , 0, 2.0, , 30
0.4, 0.6, 95, N/A, N/A, , 60, 32645.0, 12123, 0.1, , 0, 0.5, , 30, 1.0, , 0, 2.0, , 0
0.4, 0.8, 10, N/A, N/A, , 30, 1167.0, 118, 0.1, , 30, 0.5, , 0, 1.0, , 30, 2.0, , 30
0.4, 0.8, 100, N/A, N/A, , 0, 97650.0, 12560, 0.1, , 30, 0.5, , 60, 1.0, , 30, 2.0, , 0
0.4, 0.8, 15, N/A, N/A, , 30, 1929.0, 168, 0.1, , 0, 0.5, , 30, 1.0, , 30, 2.0, , 0
0.4, 0.8, 20, N/A, N/A, , 30, 3950.0, 212, 0.1, , 0, 0.5, , 30, 1.0, , 0, 2.0, , 30
0.4, 0.8, 25, N/A, N/A, , 30, 5019.0, 232, 0.1, , 60, 0.5, , 30, 1.0, , 0, 2.0, , 30
0.4, 0.8, 30, N/A, N/A, , 30, 8467.0, 291, 0.1, , 60, 0.5, , 0, 1.0, , 0, 2.0, , 30
0.4, 0.8, 35, N/A, N/A, , 30, 15952.0, 405, 0.1, , 30, 0.5, , 0, 1.0, , 30, 2.0, , 0
0.4, 0.8, 40, N/A, N/A, , 60, 17651.0, 1520, 0.1, , 60, 0.5, , 0, 1.0, , 0, 2.0, , 0
0.4, 0.8, 45, N/A, N/A, , 0, 18301.0, 592, 0.1, , 60, 0.5, , 30, 1.0, , 0, 2.0, , 30
0.4, 0.8, 5, N/A, N/A, , 0, 267.0, 98, 0.1, , 30, 0.5, , 30, 1.0, , 30, 2.0, , 0
0.4, 0.8, 50, N/A, N/A, , 30, 23569.0, 1451, 0.1, , 0, 0.5, , 30, 1.0, , 30, 2.0, , 0
0.4, 0.8, 55, N/A, N/A, , 30, 28972.0, 1311, 0.1, , 0, 0.5, , 0, 1.0, , 0, 2.0, , 30
0.4, 0.8, 60, N/A, N/A, , 0, 29230.0, 1915, 0.1, , 60, 0.5, , 60, 1.0, , 0, 2.0, , 0
0.4, 0.8, 65, N/A, N/A, , 0, 45484.0, 1418, 0.1, , 30, 0.5, , 0, 1.0, , 0, 2.0, , 0
0.4, 0.8, 70, N/A, N/A, , 0, 43964.0, 4244, 0.1, , 0, 0.5, , 30, 1.0, , 30, 2.0, , 0
0.4, 0.8, 75, N/A, N/A, , 30, 55140.0, 2506, 0.1, , 30, 0.5, , 30, 1.0, , 60, 2.0, , 30
0.4, 0.8, 80, N/A, N/A, , 30, 53947.0, 4296, 0.1, , 0, 0.5, , 0, 1.0, , 0, 2.0, , 0
0.4, 0.8, 85, N/A, N/A, , 0, 42477.0, 20396, 0.1, , 0, 0.5, , 30, 1.0, , 0, 2.0, , 0
0.4, 0.8, 90, N/A, N/A, , 30, 57571.0, 4376, 0.1, , 0, 0.5, , 30, 1.0, , 30, 2.0, , 0
0.4, 0.8, 95, N/A, N/A, , 60, 80993.0, 6965, 0.1, , 60, 0.5, , 0, 1.0, , 0, 2.0, , 0
0.4, 1.0, 10, N/A, N/A, , 60, 1992.0, 115, 0.1, , 0, 0.5, , 0, 1.0, , 0, 2.0, , 30
0.4, 1.0, 100, N/A, N/A, , 30, 159354.0, 1250, 0.1, , 0, 0.5, , 30, 1.0, , 0, 2.0, , 60
0.4, 1.0, 15, N/A, N/A, , 0, 4269.0, 160, 0.1, , 30, 0.5, , 0, 1.0, , 30, 2.0, , 30
0.4, 1.0, 20, N/A, N/A, , 30, 7376.0, 162, 0.1, , 0, 0.5, , 30, 1.0, , 30, 2.0, , 0
0.4, 1.0, 25, N/A, N/A, , 0, 10888.0, 237, 0.1, , 60, 0.5, , 0, 1.0, , 30, 2.0, , 30
0.4, 1.0, 30, N/A, N/A, , 0, 16232.0, 233, 0.1, , 30, 0.5, , 30, 1.0, , 0, 2.0, , 30
0.4, 1.0, 35, N/A, N/A, , 30, 24061.0, 243, 0.1, , 0, 0.5, , 0, 1.0, , 30, 2.0, , 90
