RDD, TF, n, Tardiness BestFirst, Runtime BestFirst, Tardiness Greedy, Runtime Greedy, Tardiness Exact, Runtime Exact, Epsilon, Tardiness Approx, Runtime Approx, Epsilon, Tardiness Approx, Runtime Approx
0.4, 0.6, 5, 329.0, 72282, 405.0, 512, 329.0, 1114, 0.5, 329.0, 5089, 2.0, 360.0, 3854
0.4, 0.6, 50, N/A, N/A, 16499.0, 122066, 9196.0, 2157283, 0.5, 9197.0, 28976702, 2.0, 9264.0, 17320341
0.4, 0.6, 55, N/A, N/A, 21083.0, 151129, 11988.0, 9604819, 0.5, 11991.0, 105199357, 2.0, 12066.0, 84495440
0.4, 0.6, 60, N/A, N/A, 22923.0, 196516, 14027.0, 5958107, 0.5, 14027.0, 62881373, 2.0, 14137.0, 60498600
0.4, 0.6, 65, N/A, N/A, 29295.0, 290272, 16298.0, 8687562, 0.5, 16304.0, 89626221, 2.0, 16342.0, 71079075
0.4, 0.6, 70, N/A, N/A, 36780.0, 288766, 21087.0, 14339375, 0.5, 21109.0, 145335091, 2.0, 21247.0, 130463992
0.4, 0.6, 75, N/A, N/A, 41325.0, 382431, 26005.0, 19830149, 0.5, 26007.0, 194215068, 2.0, 26160.0, 192754672
0.4, 0.6, 80, N/A, N/A, 39964.0, 435167, 22237.0, 22182383, 0.5, 22240.0, 215732879, 2.0, 22240.0, 214050638
0.4, 0.6, 85, N/A, N/A, 49652.0, 546601, 28054.0, 63159598, 0.5, 28075.0, 772456919, 2.0, 28248.0, 697519917
0.4, 0.6, 90, N/A, N/A, 53797.0, 621172, 30766.0, 63678372, 0.5, 30811.0, 705290403, 2.0, 30866.0, 602482401
0.4, 0.6, 95, N/A, N/A, 59037.0, 717518, 32645.0, 32089311, 0.5, 32653.0, 368655794, 2.0, 32749.0, 338382354
0.4, 0.8, 10, 1167.0, 5978842183, 1535.0, 1385, 1167.0, 3072, 0.5, 1169.0, 14697, 2.0, 1184.0, 13974
0.4, 0.8, 100, N/A, N/A, 158666.0, 834223, 97548.0, 31060950, 0.5, 97554.0, 387145054, 2.0, 97857.0, 338359556
0.4, 0.8, 15, N/A, N/A, 3224.0, 3312, 1929.0, 11625, 0.5, 1929.0, 77673, 2.0, 1966.0, 80172
0.4, 0.8, 20, N/A, N/A, 6846.0, 7649, 3950.0, 17528, 0.5, 3950.0, 195492, 2.0, 3994.0, 197450
0.4, 0.8, 25, N/A, N/A, 9180.0, 14125, 5019.0, 39815, 0.5, 5028.0, 603373, 2.0, 5060.0, 561359
0.4, 0.8, 30, N/A, N/A, 13786.0, 24094, 8467.0, 33129, 0.5, 8473.0, 330177, 2.0, 8580.0, 366559
0.4, 0.8, 35, N/A, N/A, 22319.0, 37797, 15952.0, 111494, 0.5, 15953.0, 1207529, 2.0, 16002.0, 1098926
